Route_ID,Bus_Stop_ID,Bus_Capacity,Load_Factor,Dispatch_Reason,T+1_Timestamp,Pred_t+1,Buses_t+1,T+2_Timestamp,Pred_t+2,Buses_t+2,T+3_Timestamp,Pred_t+3,Buses_t+3
365J,KBS001,60,0.85,"Fused CCTV(25,9) + ETM(16) + time features; tiny embedding + linear head; hour 18.",2025-10-04 20:00:00,111.4884307515621,3,2025-10-04 21:00:00,105.914009213984,3,2025-10-04 22:00:00,100.3395876764059,2
365J,AMC601,60,0.85,"Fused CCTV(24,9) + ETM(19) + time features; tiny embedding + linear head; hour 18.",2025-10-04 20:00:00,105.32842991232872,3,2025-10-04 21:00:00,100.06200841671227,2,2025-10-04 22:00:00,94.79558692109585,2
